Blade     9, Element     3, Total Thrust:  -4.04E+35, dT:   7.14E-01
Blade     9, Element     4, Total Thrust:  -4.04E+35, dT:   7.30E-01
Blade     9, Element     5, Total Thrust:  -4.04E+35, dT:   7.33E-01
Blade     9, Element     6, Total Thrust:  -4.04E+35, dT:   7.24E-01
Blade     9, Element     7, Total Thrust:  -4.04E+35, dT:   7.05E-01
Blade     9, Element     8, Total Thrust:  -4.04E+35, dT:   6.77E-01
Blade     9, Element     9, Total Thrust:  -4.04E+35, dT:   6.41E-01
Blade     9, Element    10, Total Thrust:  -4.04E+35, dT:   5.98E-01
Blade    10, Element     1, Total Thrust:  -4.04E+35, dT:   6.37E-01
Blade    10, Element     2, Total Thrust:  -4.04E+35, dT:   6.84E-01
Blade    10, Element     3, Total Thrust:  -4.04E+35, dT:   7.14E-01
Blade    10, Element     4, Total Thrust:  -4.04E+35, dT:   7.30E-01
Blade    10, Element     5, Total Thrust:  -4.04E+35, dT:   7.33E-01
Blade    10, Element     6, Total Thrust:  -4.04E+35, dT:   7.24E-01
Blade    10, Element     7, Total Thrust:  -4.04E+35, dT:   7.05E-01
Blade    10, Element     8, Total Thrust:  -4.04E+35, dT:   6.77E-01
Blade    10, Element     9, Total Thrust:  -4.04E+35, dT:   6.41E-01
Blade    10, Element    10, Total Thrust:  -4.04E+35, dT:   5.98E-01
Blade    11, Element     1, Total Thrust:  -4.04E+35, dT:  -2.79E-03
Blade    11, Element     2, Total Thrust:  -4.04E+35, dT:   2.14E-01
Blade    11, Element     3, Total Thrust:  -4.04E+35, dT:   4.07E-01
Blade    11, Element     4, Total Thrust:  -4.04E+35, dT:   5.45E-01
Blade    11, Element     5, Total Thrust:  -4.04E+35, dT:   7.33E-01
Blade    11, Element     6, Total Thrust:  -4.04E+35, dT:   8.55E-01
Blade    11, Element     7, Total Thrust:  -4.04E+35, dT:   9.25E-01
Blade    11, Element     8, Total Thrust:  -4.04E+35, dT:   9.44E-01
Blade    11, Element     9, Total Thrust:  -4.04E+35, dT:   9.25E-01
Blade    11, Element    10, Total Thrust:  -4.04E+35, dT:   8.76E-01
Blade    12, Element     1, Total Thrust:  -4.04E+35, dT:   1.16E+00
Blade    12, Element     2, Total Thrust:  -4.04E+35, dT:   1.23E+00
Blade    12, Element     3, Total Thrust:  -4.04E+35, dT:   1.27E+00
Blade    12, Element     4, Total Thrust:  -4.04E+35, dT:   1.29E+00
Blade    12, Element     5, Total Thrust:  -4.04E+35, dT:   1.28E+00
Blade    12, Element     6, Total Thrust:  -4.04E+35, dT:   1.26E+00
Blade    12, Element     7, Total Thrust:  -4.04E+35, dT:   1.22E+00
Blade    12, Element     8, Total Thrust:  -4.04E+35, dT:   1.17E+00
Blade    12, Element     9, Total Thrust:  -4.04E+35, dT:   1.10E+00
Blade    12, Element    10, Total Thrust:  -4.04E+35, dT:   1.03E+00
